Hour;WTG10;WTG5;WTG35;WTG0;;
01/01/2019 0:00;0;0;11.658;8.7;-0.35;0.7
01/01/2019 1:00;0;0;10.788;8.7;0.3;1.3
01/01/2019 2:00;0;0;9.89;8.6;0.0;1.0
01/01/2019 3:00;0;0;6.88;8.6;-0.3;0.7
01/01/2019 4:00;0;0;9.116;8.6;-0.3;0.7
01/01/2019 5:00;0;0;7.31;8.6;0.3;1.3
01/01/2019 6:00;0;0;9.288;8.6;-0.1;0.9
01/01/2019 7:00;0;0;5.59;8.6;-0.3;0.7
01/01/2019 8:00;272.7015904;253.5995068;8.772;8.6;0.0;1.0
01/01/2019 9:00;2191.139899;1829.142627;9.546;8.6;0.2;1.2
01/01/2019 10:00;483.1823909;404.7429588;9.632;8.6;-0.3;0.8
01/01/2019 11:00;173.2872658;267.2043439;11.18;8.6;0.3;1.3
01/01/2019 12:00;3140.984549;3242.895685;8.17;8.6;0.1;1.1
01/01/2019 13:00;2395.845018;3014.41992;7.654;8.6;0.2;1.2
01/01/2019 14:00;1149.838464;1189.14585;9.18;8.5;;
01/01/2019 15:00;563.2829318;692.0311835;6.035;8.5;;
01/01/2019 16:00;1107.542456;1548.231575;10.455;8.5;;
01/01/2019 17:00;3639.727227;4507.272045;5.525;8.5;;
01/01/2019 18:00;0;0;8.652;8.4;;
01/01/2019 19:00;0;0;6.132;8.4;;
01/01/2019 20:00;0;0;9.66;8.4;;
01/01/2019 21:00;0;0;5.964;8.4;;
01/01/2019 22:00;0;0;8.82;8.4;;
01/01/2019 23:00;0;0;7.644;8.4;;
02/01/2019 0:00;0;0;8.568;8.4;;
02/01/2019 1:00;0;0;6.972;8.4;;
02/01/2019 2:00;0;0;9.324;8.4;;
02/01/2019 3:00;0;0;10.5;8.4;;
02/01/2019 4:00;0;0;5.61;8.5;;
02/01/2019 5:00;0;0;8.245;8.5;;
02/01/2019 6:00;0;0;7.735;8.5;;
02/01/2019 7:00;0;0;7.565;8.5;;
02/01/2019 8:00;457.1184476;567.455684;9.095;8.5;;
02/01/2019 9:00;6215.594899;6373.372517;5.95;8.5;;
02/01/2019 10:00;19092.97866;19456.68231;9.18;8.5;;
02/01/2019 11:00;20061.91491;25743.94184;7.308;8.4;;
02/01/2019 12:00;30403.62739;27325.53163;10.668;8.4;;
02/01/2019 13:00;22572.05839;25949.64561;7.728;8.4;;
02/01/2019 14:00;26938.41536;32336.10422;8.148;8.4;;
02/01/2019 15:00;20614.22571;18841.41033;9.24;8.4;;
02/01/2019 16:00;3350.97422;3292.690184;8.064;8.4;;
02/01/2019 17:00;4968.730113;4548.836452;10.668;8.4;;
02/01/2019 18:00;0;0;9.744;8.4;;
02/01/2019 19:00;0;0;8.148;8.4;;
02/01/2019 20:00;0;0;9.66;8.4;;
02/01/2019 21:00;0;0;10.126;8.3;;
02/01/2019 22:00;0;0;7.055;8.3;;
02/01/2019 23:00;0;0;9.877;8.3;;
03/01/2019 0:00;0;0;6.059;8.3;;
03/01/2019 1:00;0;0;6.642;8.2;;
03/01/2019 2:00;0;0;10.496;8.2;;
03/01/2019 3:00;0;0;9.02;8.2;;
03/01/2019 4:00;0;0;6.399;8.1;;
03/01/2019 5:00;0;0;8.019;8.1;;
03/01/2019 6:00;0;0;7.6;8;;
03/01/2019 7:00;0;0;9.68;8;;
03/01/2019 8:00;4071.323403;3171.354084;6.32;7.9;;
03/01/2019 9:00;16980.65805;16108.76021;9.717;7.9;;
03/01/2019 10:00;22925.89453;25669.72894;7.254;7.8;;
03/01/2019 11:00;29153.21962;27130.48467;6.942;7.8;;
03/01/2019 12:00;28210.27744;32428.95392;10.01;7.7;;
03/01/2019 13:00;31017.37444;32374.44521;7.623;7.7;;
03/01/2019 14:00;36122.45981;24940.13198;8.47;7.7;;
03/01/2019 15:00;18679.05009;22558.27738;9.576;7.6;;
03/01/2019 16:00;17868.95958;17243.45166;7.144;7.6;;
03/01/2019 17:00;4772.732428;5507.641164;9.75;7.5;;
03/01/2019 18:00;0;0;9.6;7.5;;
03/01/2019 19:00;0;0;6.075;7.5;;
03/01/2019 20:00;0;0;6.142;7.4;;
03/01/2019 21:00;0;0;4.884;7.4;;
03/01/2019 22:00;0;0;5.846;7.4;;
03/01/2019 23:00;0;0;8.687;7.3;;
04/01/2019 0:00;0;0;8.322;7.3;;
04/01/2019 1:00;0;0;9.271;7.3;;
04/01/2019 2:00;0;0;8.906;7.3;;
04/01/2019 3:00;0;0;7.373;7.3;;
04/01/2019 4:00;0;0;5.184;7.2;;
04/01/2019 5:00;0;0;5.904;7.2;;
04/01/2019 6:00;0;0;4.968;7.2;;
04/01/2019 7:00;0;0;7.992;7.2;;
04/01/2019 8:00;308.3005348;393.2996047;9.504;7.2;;
04/01/2019 9:00;2971.873677;3880.888676;8.568;7.2;;
04/01/2019 10:00;2220.893784;2722.510896;5.472;7.2;;
04/01/2019 11:00;625.1702063;645.9224234;9.576;7.2;;
04/01/2019 12:00;2249.199599;2389.383958;4.752;7.2;;
04/01/2019 13:00;5663.992133;6281.255211;6.192;7.2;;
04/01/2019 14:00;1450.934757;1060.741804;6.12;7.2;;
04/01/2019 15:00;1577.708816;1771.011263;6.745;7.1;;
04/01/2019 16:00;833.6350057;997.7661516;8.733;7.1;;
04/01/2019 17:00;2726.495335;2836.45628;8.236;7.1;;
04/01/2019 18:00;0;0;5.112;7.1;;
04/01/2019 19:00;0;0;6.958;7.1;;
04/01/2019 20:00;0;0;8.165;7.1;;
04/01/2019 21:00;0;0;6.177;7.1;;
04/01/2019 22:00;0;0;8.378;7.1;;
04/01/2019 23:00;0;0;6.248;7.1;;
05/01/2019 0:00;0;0;7.739;7.1;;
05/01/2019 1:00;0;0;5.68;7.1;;
05/01/2019 2:00;0;0;4.97;7;;
05/01/2019 3:00;0;0;7.91;7;;
05/01/2019 4:00;0;0;6.141;6.9;;
05/01/2019 5:00;0;0;7.521;6.9;;
05/01/2019 6:00;0;0;6.003;6.9;;
05/01/2019 7:00;0;0;5.372;6.8;;
05/01/2019 8:00;257.3553418;290.3818426;8.636;6.8;;
05/01/2019 9:00;868.1738638;1338.322517;6.46;6.8;;
05/01/2019 10:00;2839.209582;2942.115987;5.712;6.8;;
05/01/2019 11:00;2663.394762;2404.505972;8.976;6.8;;
05/01/2019 12:00;5787.376998;5054.107935;6.868;6.8;;
05/01/2019 13:00;786.7932949;906.3567763;8.908;6.8;;
05/01/2019 14:00;3683.403207;3358.348275;6.392;6.8;;
05/01/2019 15:00;3585.111136;3231.158;9.045;6.7;;
05/01/2019 16:00;3147.737212;2360.685145;4.489;6.7;;
05/01/2019 17:00;7131.431212;6463.035427;8.442;6.7;;
05/01/2019 18:00;0;0;8.71;6.7;;
05/01/2019 19:00;0;0;7.194;6.6;;
05/01/2019 20:00;0;0;7.854;6.6;;
05/01/2019 21:00;0;0;8.58;6.5;;
05/01/2019 22:00;0;0;7.232;6.4;;
05/01/2019 23:00;0;0;5.12;6.4;;
06/01/2019 0:00;0;0;5.733;6.3;;
06/01/2019 1:00;0;0;6.262;6.2;;
06/01/2019 2:00;0;0;7.874;6.2;;
06/01/2019 3:00;0;0;5.124;6.1;;
06/01/2019 4:00;0;0;5.307;6.1;;
06/01/2019 5:00;0;0;6.3;6;;
06/01/2019 6:00;0;0;5.16;6;;
06/01/2019 7:00;0;0;5.28;6;;
06/01/2019 8:00;4419.421434;4453.467359;6.54;6;;
06/01/2019 9:00;20711.38658;19659.89557;6.527;6.1;;
06/01/2019 10:00;24896.22464;26928.70647;4.575;6.1;;
06/01/2019 11:00;25632.52799;28643.46481;7.991;6.1;;
06/01/2019 12:00;23854.37785;29058.70956;5.518;6.2;;
06/01/2019 13:00;34525.40272;29602.06974;5.952;6.2;;
06/01/2019 14:00;25193.58764;26541.23551;5.828;6.2;;
06/01/2019 15:00;26434.54882;24795.85661;5.27;6.2;;
06/01/2019 16:00;19514.24307;21452.87026;4.158;6.3;;
06/01/2019 17:00;5947.471048;5500.944415;5.292;6.3;;
06/01/2019 18:00;0;0;6.111;6.3;;
06/01/2019 19:00;0;0;8.001;6.3;;
06/01/2019 20:00;0;0;5.67;6.3;;
06/01/2019 21:00;0;0;6.426;6.3;;
06/01/2019 22:00;0;0;7.686;6.3;;
06/01/2019 23:00;0;0;8.253;6.3;;
07/01/2019 0:00;0;0;6.48;5.4;;
07/01/2019 1:00;0;0;6.534;5.4;;
07/01/2019 2:00;0;0;6.21;5.4;;
07/01/2019 3:00;0;0;5.4;5.4;;
07/01/2019 4:00;0;0;5.565;5.3;;
07/01/2019 5:00;0;0;6.784;5.3;;
07/01/2019 6:00;0;0;4.108;5.2;;
07/01/2019 7:00;0;0;3.519;5.1;;
07/01/2019 8:00;1680.664739;1433.123029;4.75;5;;
07/01/2019 9:00;14657.87841;13819.69802;3.4;5;;
07/01/2019 10:00;25855.26355;20552.93585;4.312;4.9;;
07/01/2019 11:00;18504.4579;18310.21065;5.8;5;;
07/01/2019 12:00;24960.81657;24859.8709;4.641;5.1;;
07/01/2019 13:00;20098.37653;25761.84851;6.36;5.3;;
07/01/2019 14:00;22523.66727;25518.29048;4.144;5.6;;
07/01/2019 15:00;17595.97216;21430.15595;6.9;6;;
07/01/2019 16:00;19486.91865;19781.14271;4.347;6.3;;
07/01/2019 17:00;7447.779304;7680.972056;8.316;6.6;;
07/01/2019 18:00;0;0;9.177;6.9;;
07/01/2019 19:00;0;0;9.38;7;;
07/01/2019 20:00;0;0;5.88;7;;
07/01/2019 21:00;0;0;7.98;7;;
07/01/2019 22:00;0;0;9.108;6.9;;
07/01/2019 23:00;0;0;7.14;6.8;;
08/01/2019 0:00;0;0;8.844;6.7;;
08/01/2019 1:00;0;0;6.204;6.6;;
08/01/2019 2:00;0;0;4.615;6.5;;
08/01/2019 3:00;0;0;8.576;6.4;;
08/01/2019 4:00;0;0;5.184;6.4;;
08/01/2019 5:00;0;0;8.379;6.3;;
08/01/2019 6:00;0;0;7.812;6.3;;
08/01/2019 7:00;0;0;4.712;6.2;;
08/01/2019 8:00;3572.338482;3359.137671;5.518;6.2;;
